underlying_symbol,quote_datetime,sequence_number,root,expiration,strike,option_type,exchange_id,trade_size,trade_price,trade_condition_id,canceled_trade_condition_id,best_bid,best_ask,underlying_bid,underlying_ask,number_of_exchanges,{exchange,bid_size,bid,ask_size,ask}[number_of_exchanges]
^VIX,2016-06-01 15:53:34.050,101237453,VIX,2016-06-15,15.000,C,5,42,0.9500,0,0,0.9000,1.0000,14.6500,14.6500,1,5,17512,0.9000,1845,1.0000
^VIX,2016-06-01 15:58:21.575,102304408,VIX,2016-06-15,15.000,C,5,3,0.9800,106,0,0.9500,1.0000,14.6500,14.6500,1,5,786,0.9500,4328,1.0000
^VIX,2016-06-01 15:59:19.275,371005595,VIX,2016-06-15,15.000,C,5,63,0.9500,0,0,0.9500,1.0000,14.6500,14.6500,1,5,63,0.9500,8353,1.0000
^VIX,2016-06-01 16:00:03.750,102954207,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,1.0000,14.6500,14.6500,1,5,6998,0.9000,13555,1.0000
^VIX,2016-06-01 16:08:15.225,103190289,VIX,2016-06-15,15.000,C,5,2,0.9500,0,0,0.9000,1.0000,14.6500,14.6500,1,5,10949,0.9000,6975,1.0000
^VIX,2016-06-01 16:08:57.975,103197993,VIX,2016-06-15,15.000,C,5,2,0.9500,0,0,0.9000,1.0000,14.6500,14.6500,1,5,10949,0.9000,6923,1.0000
^VIX,2016-06-01 16:09:00.650,103200016,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,1.0000,14.6500,14.6500,1,5,10949,0.9000,6923,1.0000
^VIX,2016-06-01 16:11:48.200,36154024,VIX,2016-06-15,15.000,C,5,55,0.9200,35,0,0.9000,1.0000,14.6500,14.6500,1,5,16585,0.9000,1146,1.0000
^VIX,2016-06-01 16:14:46.050,36310248,VIX,2016-06-15,15.000,C,5,10,0.9500,35,0,0.9000,1.0000,14.6500,14.6500,1,5,6857,0.9000,10635,1.0000
^VIX,2016-06-01 09:30:03.025,261727,VIX,2016-06-15,15.000,P,5,336,0.5500,0,0,0.5000,0.5500,15.1000,15.1000,1,5,81,0.5000,3466,0.5500
^VIX,2016-06-01 09:30:04.025,295284,VIX,2016-06-15,15.000,P,5,50,0.5200,35,0,0.5000,0.5500,15.1000,15.1000,1,5,81,0.5000,3960,0.5500
^VIX,2016-06-01 09:31:51.200,1694422,VIX,2016-06-15,15.000,P,5,3,0.5000,0,0,0.5000,0.5500,15.1750,15.1750,1,5,97,0.5000,10538,0.5500
